Average_Lifetimes,Average_Points,Averages_Lifetimes_Base,Averages_Points_Base
71.0,3.195544554455445,70.75,6.525580266750878
65.0,1.8836044318717584,65.5,1.0833333333333333
69.25,2.658884131656409,81.5,5.4950495049504955
51.5,5.664397689768976,62.5,1.150990099009901
89.0,5.2651120375195415,82.5,4.393564356435644
84.75,4.907178217821782,83.0,4.2327193245640355
72.5,5.25952595259526,68.0,6.0227272727272725
82.25,0.36764705882352944,81.75,2.881349754693779
68.75,2.153060955791628,60.5,2.482341221927071
