Average_Lifetimes,Average_Points,Averages_Lifetimes_Base,Averages_Points_Base
56.25,4.032862167795727,100.0,3.477722772277228
90.75,4.762724319306931,87.5,2.4862035383866257
61.25,3.8663227016885555,42.0,0.0
85.35,5.903465346534654,89.0,2.1658415841584158
72.0,1.6841203351104341,90.5,0.12376237623762376
97.0,4.215867639395518,97.0,8.34394815886083
70.5,2.3195865460119323,79.0,4.511722080136402
47.75,2.5678696901948257,89.75,2.6938943894389435
