Average_Lifetimes,Average_Points,Averages_Lifetimes_Base,Averages_Points_Base
51.0,2.5467022493328253,48.5,0.5487804878048781
65.25,2.7298444130127297,100.0,6.1138613861386135
59.5,4.579207920792079,100.0,9.047029702970297
82.0,4.033511043412034,80.25,1.051980198019802
76.0,4.156084086669536,87.0,3.55778945241463
52.75,3.142061781609195,57.75,4.785760627344786
47.5,4.875541125541126,58.75,1.1653352835283528
66.5,0.8539603960396039,100.0,6.683168316831683
66.0,2.5304787941480713,82.0,3.527227722772277
